model,task,q1_score,q4_score,q4_minus_q1_gap,gap_ci_95_low,gap_ci_95_high,bootstrap_samples
blip_baseline,captioning,0.2857142857142857,0.7619047619047619,0.47619047619047616,0.3095238095238095,0.6428571428571429,2000
blip_prompted,captioning,0.2619047619047619,0.7857142857142857,0.5238095238095237,0.380952380952381,0.6666666666666666,2000
clip,classification,0.7142857142857143,0.9285714285714286,0.2142857142857143,0.0714285714285714,0.3339285714285683,2000
qwen,captioning,0.35714285714285715,0.8095238095238095,0.4523809523809524,0.28571428571428564,0.6190476190476191,2000
qwen,classification,0.8571428571428571,0.8809523809523809,0.023809523809523836,-0.07142857142857151,0.1428571428571428,2000
